japanese,romaji,english,source_category,source_exercise
など,nado,"and the like, and so forth",reading,13
次に,tsugi ni,next,reading,13
軽い,karui,light (i.e. not heavy),reading,13
妹,imouto,little sister,reading,13
おいしい,oishii,delicious,reading,13
先週,senshuu,last week,reading,13
アパート,apaato,apartment,reading,13
おばあさん,obaasan,grandmother,reading,13
大学生,daigakusei,college student,reading,13
誰か,dareka,someone,reading,13
どんな,donna,what kind of,reading,13
JLPT N5 – Reading Exercise 14,,,reading,13
うち,uchi,"house, home (one’s own)",reading,14
とても,totemo,very,reading,14
頑張る,ganbaru,to do one’s best,reading,14
はじめ,hajime,at first,reading,14
辞書を引く,jisho o hiku,to consult a dictionary,reading,14
面白い,omoshiroi,interesting,reading,14
つまらない,tsumaranai,boring,reading,14
易しい,yasashii,easy,reading,14
言葉,kotoba,word,reading,14
一人,hitori,"one person, alone",reading,14
サングラス,sangurasu,sunglasses,reading,14
普通,futsuu,"general, usual",reading,14
かける,kakeru,to put on (glasses),reading,14
メガネ,megane,glasses,reading,14
よく,yoku,"frequently, often",reading,14
吹く,fuku,to blow,reading,14
今週,konshuu,this week,reading,14
前の日,mae no hi,the day before,reading,14
払う,harau,to pay,reading,14
半分,hanbun,half,reading,14
見る,miru,"to see, to watch, to look",vocabulary,1
夕べ,yuube,"evening, last night",vocabulary,1
聞く,kiku,"to listen, to hear",vocabulary,1
ぺん: pen,,,vocabulary,1
ストーブ: heater (from stove),,,vocabulary,1
細い,hosoi,"thin, slender",vocabulary,1
結構,kekkou,"splendid, nice, wonderful",vocabulary,1
残念,zannen,"bad luck, regret, disappointment",vocabulary,1
簡単,kantan,simple,vocabulary,1
習う,narau,to learn,vocabulary,1
覚える,oboeru,"to remember, to recollect",vocabulary,1
着る,kiru,to wear (from the shoulders down),vocabulary,1
"たいてい: mostly, usually",,,vocabulary,1
"ちょうど: just, right, exactly",,,vocabulary,1
"すぐに: instantly, immediately",,,vocabulary,1
だんだん: gradually,,,vocabulary,1
JLPT N5 – Vocabulary Exercise 02,,,vocabulary,1
六日,muika,"sixth days of the month, six days",vocabulary,2
ピアノ: piano,,,vocabulary,2
レコード: record,,,vocabulary,2
スキー: skiing,,,vocabulary,2
狭い,semai,"narrow, confined",vocabulary,2
重い,omoi,"heavy, massive",vocabulary,2
川,kawa,"river, stream",vocabulary,2
飛ぶ,tobu,to fly,vocabulary,2
パーテイー: party,,,vocabulary,2
ズボン: trousers,,,vocabulary,2
掛ける,kakeru,"to hang, to hoist",vocabulary,2
乗る,noru,"to ride in, to board",vocabulary,2
登る,noboru,"to ascend, to go up, to climb",vocabulary,2
JLPT N5 – Vocabulary Exercise 03,,,vocabulary,2
JLPT N5 – Vocabulary Exercise 01,,,vocabulary,2
歯,ha,tooth,vocabulary,3
浴びる,abiru,"to bathe, to shower",vocabulary,3
磨く,migaku,"to brush (teeth), to polish",vocabulary,3
角,kado,corner (pavement),vocabulary,3
曲がる,magaru,"to turn, to bend",vocabulary,3
止まる,tomaru,"to stop, to halt",vocabulary,3
家,ie,"house, residence, dwelling",vocabulary,3
便利,benri,"convenient, handy",vocabulary,3
色々,iroiro,various,vocabulary,3
毎月,maitsuki,"every month, each month",vocabulary,3
"もちろん: of course, certainly",,,vocabulary,3
"しめる: to tie, to fasten",,,vocabulary,3
"セーター: sweater, jumper",,,vocabulary,3
重要,juuyou,"important, essential",vocabulary,3
JLPT N5 – Vocabulary Exercise 04,,,vocabulary,3
医者,isha,(medical) doctor,vocabulary,4
立派,rippa,"splendid, fine",vocabulary,4
"きれい: pretty, beautiful",,,vocabulary,4
"まっすぐ: straight, direct, upright",,,vocabulary,4
上がる,agaru,"to rise, to go up",vocabulary,4
甘い,amai,sweet,vocabulary,4
厚い,atsui,"thick, deep",vocabulary,4
そろそろ: soon,,,vocabulary,4
付ける,tsukeru,"to attach, to join",vocabulary,4
"だいぶ: considerably, greatly",,,vocabulary,4
大勢,oozei,"many, great number of people",vocabulary,4
JLPT N5 – Vocabulary Exercise 05,,,vocabulary,4
低い,hikui,low,vocabulary,5
涼しい,suzushii,"cool (of weather), refreshing",vocabulary,5
はがき: postcard,,,vocabulary,5
空,sora,sky,vocabulary,5
曇り,kumori,"cloudiness, cloudy weather",vocabulary,5
呼ぶ,yobu,"to call out, to call",vocabulary,5
男,otoko,man,vocabulary,5
兄弟,kyoudai,"siblings, brothers and sisters",vocabulary,5
おじさん: uncle,,,vocabulary,5
おばさん: aunt,,,vocabulary,5
おじいさん: grandfather,,,vocabulary,5
おばあさん: grandmother,,,vocabulary,5
早く,hayaku,"early, soon, quickly",vocabulary,5
ニュース: news,,,vocabulary,5
"ちょうどいい: just right (size, time)",,,vocabulary,5
足,ashi,"foot, leg",vocabulary,5
耳,mimi,ear,vocabulary,5
JLPT N5 – Vocabulary Exercise 06,,,vocabulary,5
靴下,kutsushita,"socks, stockings",vocabulary,6
丈夫,joubu,"strong, solid",vocabulary,6
渡す,watasu,"to give, to hand over",vocabulary,6
鳴らす,narasu,"to ring, to sound",vocabulary,6
並ぶ,narabu,"to line up, to stand in a line",vocabulary,6
並べる,naraberu,"to line up, to set up, to itemize",vocabulary,6
下手,heta,"unskillful, poor",vocabulary,6
出す,dasu,"to take out, to get out",vocabulary,6
一歳,issai,one-year-old,vocabulary,6
JLPT N5 – Vocabulary Exercise 07,,,vocabulary,6
桜,sakura,cherry blossom,vocabulary,7
てんぷら: tempura,,,vocabulary,7
スリッパ: slipper,,,vocabulary,7
借りる,kariru,to borrow,vocabulary,7
まずい: unappetizing,,,vocabulary,7
汚い,kitanai,"dirty, unclean",vocabulary,7
危ない,abunai,"dangerous, risky",vocabulary,7
暇,hima,"spare time, free time",vocabulary,7
休み,yasumi,"rest, recess",vocabulary,7
JLPT N5 – Vocabulary Exercise 08,,,vocabulary,7
止める,yameru,"to end, to stop",vocabulary,8
一昨年,ototoshi,year before last,vocabulary,8
二年,ninen,two years,vocabulary,8
二日,futsuka,two days,vocabulary,8
一年,ichinen,one year,vocabulary,8
忘れる,wasureru,"to forget, to leave carelessly",vocabulary,8
ペット: pet,,,vocabulary,8
休む,yasumu,"to go to bed, to sleep",vocabulary,8
分かる,wakaru,"to be known, to be understood",vocabulary,8
JLPT N5 – Vocabulary Exercise 09,,,vocabulary,8
親切,shinsetsu,"kindness, gentleness",vocabulary,9
嬉しい,ureshii,"happy, glad, pleasant",vocabulary,9
優しい,yasashii,"gentle, kind",vocabulary,9
インド: India,,,vocabulary,9
植物,shokubutsu,"plant, vegetation",vocabulary,9
女,onna,woman,vocabulary,9
調子,choushi,state of health,vocabulary,9
元気,genki,"health, robust",vocabulary,9
自分,jibun,"myself, yourself, oneself",vocabulary,9
鉛筆,enpitsu,pencil,vocabulary,9
ベア: door,,,vocabulary,9
大好き,daisuki,like very much,vocabulary,9
JLPT N5 – Vocabulary Exercise 10,,,vocabulary,9
入る,hairu,"to enter, to enroll",vocabulary,10
思う,omou,"to think, to consider",vocabulary,10
うまく行く,umaku iku,"to go smoothly, to turn out well",vocabulary,10
吹く,fuku,to blow (wind),vocabulary,10
引く,hiku,"to pull, to draw",vocabulary,10
JLPT N5 – Vocabulary Exercise 11,,,vocabulary,10
"つまらない: boring, uninteresting",,,vocabulary,11
お医者さん,oishasan,doctor,vocabulary,11
奥さん,okusan,"wife, your wife, his wife, madam",vocabulary,11
お巡りさん,omawarisan,policeman,vocabulary,11
十月,juugatsu,October,vocabulary,11
五日,itsuka,"fifth day of the month, five days",vocabulary,11
死ぬ,shinu,to die,vocabulary,11
先生,sensei,"teacher, doctor",vocabulary,11
店員,ten’in,"shop assistant, employee, clerk",vocabulary,11
JLPT N5 – Vocabulary Exercise 12,,,vocabulary,11
寂しい,sabishii,"lonely, lonesome",vocabulary,12
クリニック: clinic,,,vocabulary,12
治す,naosu,"to cure, to heal",vocabulary,12
病気,byouki,"illness, disease",vocabulary,12
客,kyaku,"guest, visitor, customer",vocabulary,12
安全,anzen,"safe, security",vocabulary,12
結構,kekkou,"splendid, nice",vocabulary,12
乗り物,norimono,vehicle,vocabulary,12
ソックス: socks,,,vocabulary,12
ゴミの日,gomi no hi,"garbage day, rubbish collection day",vocabulary,12
JLPT N5 – Vocabulary Exercise 13,,,vocabulary,12
開ける,akeru,to open (a door),vocabulary,13
古い,furui,"old, ancient",vocabulary,13
タワー: tower,,,vocabulary,13
デスク: desk,,,vocabulary,13
庭,niwa,garden,vocabulary,13
"ただ: only, merely, just",,,vocabulary,13
信号,shingou,"traffic lights, signal",vocabulary,13
どんなに: how,,,vocabulary,13
"どう: how, in what way",,,vocabulary,13
意味,imi,"meaning, significance",vocabulary,13
調べる,shiraberu,"to check up, to search, to examine",vocabulary,13
八百屋,yaoya,greengrocer,vocabulary,13
字引,jibiki,dictionary,vocabulary,13
太い,futoi,"fat, thick",vocabulary,13
JLPT N5 – Vocabulary Exercise 14,,,vocabulary,13
おとうさん: father,,,vocabulary,14
いもうとさん: younger sister,,,vocabulary,14
おとうとさん: younger brother,,,vocabulary,14
弾く,hiku,"to play (piano, guitar)",vocabulary,14
曇る,kumoru,to become cloudy,vocabulary,14
晴れる,hareru,to be sunny,vocabulary,14
奥さん,okusan,"wife, your wife, his wife",vocabulary,14
ご主人,goshujin,"your husband, her husband",vocabulary,14
コップ: glass (drinking vessel),,,vocabulary,14
暗い,kurai,"dark, gloomy",vocabulary,14
明るい,akarui,bright,vocabulary,14
"つける: to turn on, to switch on",,,vocabulary,14
"きれい: beautiful, clean",,,vocabulary,14
JLPT N5 – Vocabulary Exercise 15,,,vocabulary,14
覚え方,oboekata,how to remember,vocabulary,15
思う,omou,"to think, to believe",vocabulary,15
"だれか: someone, somebody",,,vocabulary,15
"どこか: somewhere, anywhere",,,vocabulary,15
"いつか: someday, one day",,,vocabulary,15
なにか: something,,,vocabulary,15
もう一度,mou ichido,"once, one time",vocabulary,15
年,toshi,"year, age",vocabulary,15
通う,kayou,"to attend (school, church)",vocabulary,15
ラジカセ: radio-cassette player,,,vocabulary,15
呼ぶ,yobu,"to call, to name",vocabulary,15
JLPT N5 – Vocabulary Exercise 16,,,vocabulary,15
差す,sasu,to raise umbrella,vocabulary,16
消す,kesu,"to erase, to delete, to turn off power",vocabulary,16
出す,dasu,"to submit, to turn in",vocabulary,16
二十日,hatsuka,"twentieth day of the month, twenty days",vocabulary,16
一日,tsuitachi,first day of the month,vocabulary,16
薄い,usui,"thin, pale, light",vocabulary,16
古い,furui,"old (not person), aged, ancient",vocabulary,16
"すくない: few, a little",,,vocabulary,16
"たいへん: very, greatly, terrible",,,vocabulary,16
違う,chigau,"to differ (from), to vary",vocabulary,16
"どうも: quite, really, somehow",,,vocabulary,16
降る,furu,to fall,vocabulary,16
雷,kaminari,thunder,vocabulary,16
真面目,majime,"serious, grave, honest",vocabulary,16
取る,toru,to take,vocabulary,16
"トイレ: toilet, restroom",,,vocabulary,16
ノート: notebook,,,vocabulary,16
JLPT N5 – Vocabulary Exercise 17,,,vocabulary,16
出口,deguchi,"exit, gateway",vocabulary,17
入口,iriguchi,"entrance, gate",vocabulary,17
下りる,oriru,"to descend, to go down",vocabulary,17
食堂,shokudou,"dining room, cafeteria, restaurant",vocabulary,17
本屋,hon’ya,"bookshop, bookstore",vocabulary,17
花屋,hanaya,florist,vocabulary,17
肉屋,nikuya,butcher,vocabulary,17
渡す,watasu,"to give, to pass, to hand in",vocabulary,17
おにいさん: older brother,,,vocabulary,17
会議,kaigi,"meeting, conference",vocabulary,17
JLPT N5 – Vocabulary Exercise 18,,,vocabulary,17
"キロ: kilo, kilogram",,,vocabulary,18
グラム: gram,,,vocabulary,18
おねがいします: please,,,vocabulary,18
"どうしたしまして: you are welcome, don’t mention it",,,vocabulary,18
急ぐ,isogu,"to hurry, to rush, to hasten",vocabulary,18
時,toki,"time, hour, moment",vocabulary,18
自由,jiyuu,"freedom, liberty",vocabulary,18
虎,tora,tiger,vocabulary,18
春,haru,"spring, springtime",vocabulary,18
いちいち: one by one,,,vocabulary,18
速い,hayai,"fast, quick",vocabulary,18
チケット: ticket,,,vocabulary,18
泣く,naku,"to cry, to weep, to sob",vocabulary,18
脱ぐ,nugu,to take off (clothes),vocabulary,18
ギター: guitar,,,vocabulary,18
昼ご飯,hirugohan,"lunch, midday meal",vocabulary,18
JLPT N5 – Vocabulary Exercise 19,,,vocabulary,18
学ぶ,manabu,"to study, to learn",vocabulary,19
貼る,haru,"to stick, to paste, to affix",vocabulary,19
"おつかれさまでした: thank you, many thanks, that’s enough for today",,,vocabulary,19
彼,kare,"he, him, boyfriend",vocabulary,19
電話番号,denwabangou,telephone number,vocabulary,19
寒い,samui,"cold, weather",vocabulary,19
JLPT N5 – Vocabulary Exercise 20,,,vocabulary,19
お手洗い,otearai,"toilet, restroom",vocabulary,20
"トイレ: toilet, bathroom",,,vocabulary,20
玄関,genkan,"entranceway, entry hall",vocabulary,20
廊下,rouka,corridor,vocabulary,20
年,nen,"year, counter for years",vocabulary,20
再来年,sarainen,year after next,vocabulary,20
野球,yakyuu,baseball,vocabulary,20
バナナ: banana,,,vocabulary,20
夫婦,fuufu,"married couple, spouses",vocabulary,20
出す,dasu,to send (a letter),vocabulary,20
おじ: uncle,,,vocabulary,20
JLPT N5 – Vocabulary Exercise 21,,,vocabulary,20
写真,shashin,"photo, photograph",vocabulary,21
おおきく: in a big way,,,vocabulary,21
"おおぜい: many, crowd, great number of people",,,vocabulary,21
"もらう: to receive, to take, to get",,,vocabulary,21
磨く,migaku,"to brush (teeth), to polish, to shine",vocabulary,21
JLPT N5 – Vocabulary Exercise 22,,,vocabulary,21
大事,daiji,"important, valuable",vocabulary,22
思う,omou,"to think, to believe, to consider",vocabulary,22
一番,ichiban,"best, first, number one",vocabulary,22
最初,saisho,"beginning, first",vocabulary,22
"ひとり: one person, alone",,,vocabulary,22
吸う,suu,"to smoke, to breathe in",vocabulary,22
消える,kieru,"to go out, to vanish, to disappear",vocabulary,22
聞こえる,kikoeru,"to be heard, to be audible",vocabulary,22
止める,tomeru,to stop,vocabulary,22
席,seki,seat,vocabulary,22
JLPT N5 – Vocabulary Exercise 23,,,vocabulary,22
字,ji,"hand-writing, character",vocabulary,23
工場,koujou,"factory, mill, workshop",vocabulary,23
町,machi,"town, street, road",vocabulary,23
緑,midori,green,vocabulary,23
木,ki,"tree, wood, timber",vocabulary,23
嫌,iya,"disagreeable, detestable",vocabulary,23
勝つ,katsu,to win,vocabulary,23
小さな,chiisana,"small, little, tiny",vocabulary,23
声,koe,voice,vocabulary,23
鳴く,naku,to sing (bird),vocabulary,23
JLPT N5 – Vocabulary Exercise 24,,,vocabulary,23
四つ,yottsu,four,vocabulary,24
六つ,muttsu,six,vocabulary,24
五つ,itsutsu,five,vocabulary,24
二つ,futatsu,two,vocabulary,24
三つ,mittsu,three,vocabulary,24
八つ,yattsu,eight,vocabulary,24
送る,okuru,"to send (a thing), to dispatch",vocabulary,24
玩具,omocha,toy,vocabulary,24
娘,musume,"daughter, girl",vocabulary,24
息子,musuko,son,vocabulary,24
昔,mukashi,"olden days, former",vocabulary,24
向こう,mukou,"opposite side, over there, that way",vocabulary,24
点ける,tsukeru,"to turn on, to switch on",vocabulary,24
電子,denshi,electron,vocabulary,24
茶碗,chawan,"rice bowl, tea cup",vocabulary,24
お弁当,obentou,bento (Japanese lunch box),vocabulary,24
喧嘩,kenka,"quarrel, fight",vocabulary,24
交通,koutsuu,"traffic, communication, transportation",vocabulary,24
